Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
1000 Degree Pizza,4526 New Linden Hill Road,Wilmington,19808.0,07/08/2022,Routine,2-102.12,Certified Food Protection Manager,"4526 New Linden Hill Road
Wilmington, DE 19808
(39.737731167, -75.690144456)"
11-Jul,654 N Dupont Hwy,Dover,19901.0,05/26/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","654 N Dupont Hwy
Dover, DE 19901
(39.178200014, -75.527233032)"
13 Wingz,639 Phillips St,Seaford,19973.0,02/08/2023,Routine,5-202.13,"Backflow Prevention, Air Gap","639 Phillips St
Seaford, DE 19973
(38.645889987, -75.625000976)"
1300 Bar & Restaurant,1300 N Market St,Wilmington,19801.0,06/16/2022,Routine,2-102.12,Certified Food Protection Manager,"1300 N Market St
Wilmington, DE 19801
(39.748308989, -75.545611026)"
14 Global LLC,14 N Pennsylvania Ave,Bethany Beach,19930.0,07/07/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","14 N Pennsylvania Ave
Bethany Beach, DE 19930
(38.539532981, -75.057107003)"
1776 Restaurant,18585 Coastal Highway Suite # 6,Wyoming,19971.0,08/31/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","18585 Coastal Highway Suite # 6
Wyoming, DE 19971
(38.73783301, -75.141634976)"
1857 Jackson House,144 Kings Highway Northeast,Dover,19901.0,06/06/2023,Routine,2-102.12,Certified Food Protection Manager,"144 Kings Highway Northeast
Dover, DE 19901
(39.161463994, -75.523879014)"
1861,423 North Broad Street,Middletown,19709.0,03/09/2022,Routine,6-301.12,Hand Drying Provision,"423 North Broad Street
Middletown, DE 19709
(39.453987009, -75.717760984)"
2 Angel's Ice Cream,16953 South Dupont Highway,Harrington,19952.0,06/10/2022,Routine,2-102.12,Certified Food Protection Manager,"16953 South Dupont Highway
Harrington, DE 19952
(38.926959005, -75.566414993)"
2 Fat Guys American Grill,701 Ace Memorial Drive,Hockessin,19707.0,05/17/2022,Routine,2-102.12,Certified Food Protection Manager,"701 Ace Memorial Drive
Hockessin, DE 19707
(39.793810989, -75.709006002)"
3 Countries Pizzeria,202 E 6th St,New Castle,19720.0,03/07/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","202 E 6th St
New Castle, DE 19720
(39.664793005, -75.563922969)"
302 Food Plug,1110 Newport Gap Pike,Wilmington,19804.0,04/19/2022,Routine,3-302.12,Food Storage Containers Identified with Common Name of Food,"1110 Newport Gap Pike
Wilmington, DE 19804
(39.72584201, -75.619537987)"
